day,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160623,15,8,5,1,1,3,1,1,1,0
20160624,6,2,2,0,2,3,1,1,1,0
20160625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160627,15,13,2,0,0,8,5,1,1,1
20160628,12,6,3,2,1,11,5,3,1,2
20160629,5,1,2,2,0,NA,NA,NA,NA,NA
20160630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160717,6,0,3,2,1,NA,NA,NA,NA,NA
20160718,15,6,4,5,0,4,1,0,3,0
20160719,16,9,5,2,0,4,2,0,2,0
20160720,9,3,4,2,0,NA,NA,NA,NA,NA
20160721,9,5,3,0,1,3,2,1,0,0
20160722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160724,5,0,5,0,0,NA,NA,NA,NA,NA
20160725,13,9,2,2,0,2,1,0,0,1
20160726,13,6,4,1,2,7,5,1,1,0
20160727,9,6,2,1,0,1,1,0,0,0
20160728,14,2,10,2,0,4,3,0,1,0
20160729,3,0,3,0,0,0,0,0,0,0
20160730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160731,10,0,9,1,0,NA,NA,NA,NA,NA
20160801,14,9,4,1,0,3,0,0,2,1
20160802,20,13,5,0,2,6,2,3,1,0
20160803,15,13,2,0,0,9,5,2,1,1
20160804,15,5,6,0,4,5,2,0,3,0
20160805,16,12,2,2,0,4,2,1,1,0
20160806,5,0,1,4,0,NA,NA,NA,NA,NA
20160807,9,4,4,1,0,NA,NA,NA,NA,NA
20160808,18,9,6,3,0,10,8,0,2,0
20160809,12,11,1,0,0,4,4,0,0,0
20160810,16,9,7,0,0,10,8,0,0,2
20160811,10,9,0,0,1,1,0,0,0,1
20160812,13,5,7,1,0,1,1,0,0,0
20160813,7,0,5,0,2,NA,NA,NA,NA,NA
20160814,10,0,7,1,2,NA,NA,NA,NA,NA
20160815,14,9,5,0,0,4,2,1,1,0
20160816,18,9,7,2,0,2,1,0,1,0
20160817,20,10,7,1,2,6,3,0,2,1
20160818,14,8,6,0,0,3,1,0,1,1
20160819,11,7,2,0,2,5,3,1,0,1
20160820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160822,16,8,6,2,0,9,8,1,0,0
20160823,12,5,4,1,2,8,8,0,0,0
20160824,11,7,3,1,0,5,1,1,3,0
20160825,6,4,1,0,1,5,5,0,0,0
20160826,10,10,0,0,0,5,4,1,0,0
20160827,13,0,9,2,2,NA,NA,NA,NA,NA
20160828,3,0,2,1,0,NA,NA,NA,NA,NA
20160829,12,9,2,1,0,2,1,1,0,0
20160830,17,8,6,2,1,3,3,0,0,0
20160831,18,8,7,3,0,4,4,0,0,0
20160901,12,6,5,1,0,9,7,0,2,0
20160902,7,3,3,1,0,2,2,0,0,0
20160903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160906,15,7,4,2,2,5,4,0,1,0
20160907,13,7,5,1,0,4,1,0,1,2
20160908,15,10,4,1,0,5,2,1,1,1
20160909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160910,3,0,3,0,0,NA,NA,NA,NA,NA
